Match ID,dbpedia_uid,forbes_uid,dbpedia_company,forbes_company,Similarity Score,dbpedia_fobes_uids
dbpedia_forbes_9839,DBPedia_9838,Forbes_1196,National Bank of Greece,National Bank of Greece,100,DBPedia_9838Forbes_1196
dbpedia_forbes_2541,DBPedia_2540,Forbes_1447,Church & Dwight,Church & Dwight,100,DBPedia_2540Forbes_1447
dbpedia_forbes_1596,DBPedia_1595,Forbes_117,Bank of Montreal,Bank of Montreal,100,DBPedia_1595Forbes_117
dbpedia_forbes_1683,DBPedia_1682,Forbes_316,CNP Assurances,CNP Assurances,100,DBPedia_1682Forbes_316
dbpedia_forbes_10435,DBPedia_10434,Forbes_1179,Fastenal,Fastenal,100,DBPedia_10434Forbes_1179
dbpedia_forbes_658,DBPedia_657,Forbes_5,China Construction Bank,China Construction Bank,100,DBPedia_657Forbes_5
dbpedia_forbes_6589,DBPedia_6588,Forbes_576,Lumen Technologies,Lumen Technologies,100,DBPedia_6588Forbes_576
dbpedia_forbes_9335,DBPedia_9334,Forbes_1025,Continental Resources,Continental Resources,100,DBPedia_9334Forbes_1025
dbpedia_forbes_3932,DBPedia_3931,Forbes_338,Fannie Mae,Fannie Mae,100,DBPedia_3931Forbes_338
dbpedia_forbes_4032,DBPedia_4031,Forbes_740,Asahi Kasei,Asahi Kasei,100,DBPedia_4031Forbes_740
dbpedia_forbes_2865,DBPedia_2864,Forbes_365,Japan Tobacco,Japan Tobacco,100,DBPedia_2864Forbes_365
dbpedia_forbes_3937,DBPedia_3936,Forbes_1032,Invesco,Invesco,100,DBPedia_3936Forbes_1032
dbpedia_forbes_2688,DBPedia_2687,Forbes_1363,Brown–Forman,Brown-Forman,100,DBPedia_2687Forbes_1363
dbpedia_forbes_8353,DBPedia_8352,Forbes_493,Consolidated Edison,Consolidated Edison,100,DBPedia_8352Forbes_493
dbpedia_forbes_2400,DBPedia_2399,Forbes_712,Uber,Uber,100,DBPedia_2399Forbes_712
dbpedia_forbes_4397,DBPedia_4396,Forbes_1100,Paychex,Paychex,100,DBPedia_4396Forbes_1100
dbpedia_forbes_7733,DBPedia_7732,Forbes_227,3M,3M,100,DBPedia_7732Forbes_227
dbpedia_forbes_4792,DBPedia_4791,Forbes_101,British American Tobacco,British American Tobacco,100,DBPedia_4791Forbes_101
dbpedia_forbes_5938,DBPedia_5937,Forbes_886,Ternium,Ternium,100,DBPedia_5937Forbes_886
dbpedia_forbes_3343,DBPedia_3342,Forbes_875,Conagra Brands,Conagra Brands,100,DBPedia_3342Forbes_875
dbpedia_forbes_8536,DBPedia_8535,Forbes_812,Apollo Global Management,Apollo Global Management,100,DBPedia_8535Forbes_812
dbpedia_forbes_9809,DBPedia_9808,Forbes_136,Iberdrola,Iberdrola,100,DBPedia_9808Forbes_136
dbpedia_forbes_958,DBPedia_957,Forbes_1715,Ramsay Health Care,Ramsay Health Care,100,DBPedia_957Forbes_1715
dbpedia_forbes_10207,DBPedia_10206,Forbes_1127,Lululemon Athletica,Lululemon Athletica,100,DBPedia_10206Forbes_1127
dbpedia_forbes_4379,DBPedia_4378,Forbes_367,United Overseas Bank,United Overseas Bank,100,DBPedia_4378Forbes_367
dbpedia_forbes_2861,DBPedia_2860,Forbes_491,FEMSA,Femsa,100,DBPedia_2860Forbes_491
dbpedia_forbes_19,DBPedia_18,Forbes_599,Rogers Communications,Rogers Communications,100,DBPedia_18Forbes_599
dbpedia_forbes_8194,DBPedia_8193,Forbes_1086,Kuwait Finance House,Kuwait Finance House,100,DBPedia_8193Forbes_1086
dbpedia_forbes_7906,DBPedia_7905,Forbes_1917,Ares Management,Ares Management,100,DBPedia_7905Forbes_1917
dbpedia_forbes_4185,DBPedia_4184,Forbes_1356,South32,South32,100,DBPedia_4184Forbes_1356
dbpedia_forbes_3724,DBPedia_3723,Forbes_1154,Bank Negara Indonesia,Bank Negara Indonesia,100,DBPedia_3723Forbes_1154
dbpedia_forbes_4394,DBPedia_4393,Forbes_176,Dell Technologies,Dell Technologies,100,DBPedia_4393Forbes_176
dbpedia_forbes_2900,DBPedia_2899,Forbes_1625,Investec,Investec,100,DBPedia_2899Forbes_1625
dbpedia_forbes_6933,DBPedia_6932,Forbes_1894,Essex Property Trust,Essex Property Trust,100,DBPedia_6932Forbes_1894
dbpedia_forbes_4892,DBPedia_4891,Forbes_1225,Turkish Airlines,Turkish Airlines,100,DBPedia_4891Forbes_1225
dbpedia_forbes_10591,DBPedia_10590,Forbes_287,Diageo,Diageo,100,DBPedia_10590Forbes_287
dbpedia_forbes_2952,DBPedia_2951,Forbes_1187,Evergy,Evergy,100,DBPedia_2951Forbes_1187
dbpedia_forbes_7753,DBPedia_7752,Forbes_67,AbbVie,AbbVie,100,DBPedia_7752Forbes_67
dbpedia_forbes_4747,DBPedia_4746,Forbes_1465,Avery Dennison,Avery Dennison,100,DBPedia_4746Forbes_1465
dbpedia_forbes_4922,DBPedia_4921,Forbes_350,Texas Instruments,Texas Instruments,100,DBPedia_4921Forbes_350
dbpedia_forbes_3031,DBPedia_3030,Forbes_596,Sysco,Sysco,100,DBPedia_3030Forbes_596
dbpedia_forbes_969,DBPedia_968,Forbes_183,ING Group,ING Group,100,DBPedia_968Forbes_183
dbpedia_forbes_9731,DBPedia_9730,Forbes_1786,Atos,ATOS,100,DBPedia_9730Forbes_1786
dbpedia_forbes_448,DBPedia_447,Forbes_354,Bank of Beijing,Bank of Beijing,100,DBPedia_447Forbes_354
dbpedia_forbes_4604,DBPedia_4603,Forbes_120,Thermo Fisher Scientific,Thermo Fisher Scientific,100,DBPedia_4603Forbes_120
dbpedia_forbes_5029,DBPedia_5028,Forbes_1360,Terumo,Terumo,100,DBPedia_5028Forbes_1360
dbpedia_forbes_1374,DBPedia_1373,Forbes_600,M&T Bank,M&T Bank,100,DBPedia_1373Forbes_600
dbpedia_forbes_4408,DBPedia_4407,Forbes_1199,Umicore,Umicore,100,DBPedia_4407Forbes_1199
dbpedia_forbes_862,DBPedia_861,Forbes_314,Swiss Re,Swiss Re ,100,DBPedia_861Forbes_314
dbpedia_forbes_7393,DBPedia_7392,Forbes_980,Restaurant Brands International,Restaurant Brands International,100,DBPedia_7392Forbes_980
dbpedia_forbes_645,DBPedia_644,Forbes_4,JPMorgan Chase,JPMorgan Chase,100,DBPedia_644Forbes_4
dbpedia_forbes_5033,DBPedia_5032,Forbes_592,Fidelity National Financial,Fidelity National Financial,100,DBPedia_5032Forbes_592
dbpedia_forbes_2736,DBPedia_2735,Forbes_1701,BJ's Wholesale Club,BJ's Wholesale Club,100,DBPedia_2735Forbes_1701
dbpedia_forbes_357,DBPedia_356,Forbes_873,ZTE,ZTE,100,DBPedia_356Forbes_873
dbpedia_forbes_1345,DBPedia_1344,Forbes_697,Safran,Safran,100,DBPedia_1344Forbes_697
dbpedia_forbes_10462,DBPedia_10461,Forbes_593,Parker Hannifin,Parker-Hannifin,100,DBPedia_10461Forbes_593
dbpedia_forbes_652,DBPedia_651,Forbes_691,Ecolab,Ecolab,100,DBPedia_651Forbes_691
dbpedia_forbes_6186,DBPedia_6185,Forbes_1801,DoorDash,DoorDash,100,DBPedia_6185Forbes_1801
dbpedia_forbes_5201,DBPedia_5200,Forbes_457,Xcel Energy,Xcel Energy,100,DBPedia_5200Forbes_457
dbpedia_forbes_8203,DBPedia_8202,Forbes_878,Hyundai Steel,Hyundai Steel,100,DBPedia_8202Forbes_878
dbpedia_forbes_7205,DBPedia_7204,Forbes_12,Microsoft,Microsoft,100,DBPedia_7204Forbes_12
dbpedia_forbes_7362,DBPedia_7361,Forbes_320,Repsol,Repsol ,100,DBPedia_7361Forbes_320
dbpedia_forbes_9096,DBPedia_9095,Forbes_434,National Bank of Canada,National Bank of Canada,100,DBPedia_9095Forbes_434
dbpedia_forbes_4201,DBPedia_4200,Forbes_34,Meta Platforms,Meta Platforms,100,DBPedia_4200Forbes_34
dbpedia_forbes_4338,DBPedia_4337,Forbes_1428,Shimano,Shimano,100,DBPedia_4337Forbes_1428
dbpedia_forbes_10227,DBPedia_10226,Forbes_1161,Storebrand,Storebrand,100,DBPedia_10226Forbes_1161
dbpedia_forbes_217,DBPedia_216,Forbes_1315,Electronic Arts,Electronic Arts,100,DBPedia_216Forbes_1315
dbpedia_forbes_3470,DBPedia_3469,Forbes_1822,Crescent Point Energy,Crescent Point Energy,100,DBPedia_3469Forbes_1822
dbpedia_forbes_10654,DBPedia_10653,Forbes_1614,NiSource,NiSource,100,DBPedia_10653Forbes_1614
dbpedia_forbes_1000,DBPedia_999,Forbes_1073,Microchip Technology,Microchip Technology,100,DBPedia_999Forbes_1073
dbpedia_forbes_4607,DBPedia_4606,Forbes_1298,Skanska,Skanska,100,DBPedia_4606Forbes_1298
dbpedia_forbes_1400,DBPedia_1399,Forbes_1928,CoStar Group,CoStar Group,100,DBPedia_1399Forbes_1928
dbpedia_forbes_5858,DBPedia_5857,Forbes_179,América Móvil,América Móvil,100,DBPedia_5857Forbes_179
dbpedia_forbes_18,DBPedia_17,Forbes_509,Carrier Global,Carrier Global,100,DBPedia_17Forbes_509
dbpedia_forbes_9763,DBPedia_9762,Forbes_859,T. Rowe Price,T Rowe Price,100,DBPedia_9762Forbes_859
dbpedia_forbes_25,DBPedia_24,Forbes_273,CaixaBank,CaixaBank,100,DBPedia_24Forbes_273
dbpedia_forbes_10452,DBPedia_10451,Forbes_748,Norsk Hydro,Norsk Hydro,100,DBPedia_10451Forbes_748
dbpedia_forbes_6265,DBPedia_6264,Forbes_828,Segro,Segro,100,DBPedia_6264Forbes_828
dbpedia_forbes_10387,DBPedia_10386,Forbes_1296,Ametek,Ametek,100,DBPedia_10386Forbes_1296
dbpedia_forbes_2677,DBPedia_2676,Forbes_33,Alibaba Group,Alibaba Group,100,DBPedia_2676Forbes_33
dbpedia_forbes_6759,DBPedia_6758,Forbes_1671,Cerner,Cerner,100,DBPedia_6758Forbes_1671
dbpedia_forbes_3728,DBPedia_3727,Forbes_560,Wesfarmers,Wesfarmers,100,DBPedia_3727Forbes_560
dbpedia_forbes_227,DBPedia_226,Forbes_111,Eni,Eni,100,DBPedia_226Forbes_111
dbpedia_forbes_3350,DBPedia_3349,Forbes_534,VMware,VMware,100,DBPedia_3349Forbes_534
dbpedia_forbes_4687,DBPedia_4686,Forbes_352,Standard Chartered,Standard Chartered,100,DBPedia_4686Forbes_352
dbpedia_forbes_4753,DBPedia_4752,Forbes_1546,Wheaton Precious Metals,Wheaton Precious Metals,100,DBPedia_4752Forbes_1546
dbpedia_forbes_5557,DBPedia_5556,Forbes_144,Enbridge,Enbridge,100,DBPedia_5556Forbes_144
dbpedia_forbes_6729,DBPedia_6728,Forbes_537,CBRE Group,CBRE Group,100,DBPedia_6728Forbes_537
dbpedia_forbes_4208,DBPedia_4207,Forbes_1855,Nanto Bank,Nanto Bank,100,DBPedia_4207Forbes_1855
dbpedia_forbes_3557,DBPedia_3556,Forbes_932,Snam,Snam,100,DBPedia_3556Forbes_932
dbpedia_forbes_1780,DBPedia_1779,Forbes_24,China Merchants Bank,China Merchants Bank,100,DBPedia_1779Forbes_24
dbpedia_forbes_7368,DBPedia_7367,Forbes_1037,Bio-Rad Laboratories,Bio-Rad Laboratories,100,DBPedia_7367Forbes_1037
dbpedia_forbes_5116,DBPedia_5115,Forbes_1239,Synopsys,Synopsys,100,DBPedia_5115Forbes_1239
dbpedia_forbes_2477,DBPedia_2476,Forbes_700,Arch Capital Group,Arch Capital Group,100,DBPedia_2476Forbes_700
dbpedia_forbes_1563,DBPedia_1562,Forbes_42,CVS Health,CVS Health,100,DBPedia_1562Forbes_42
dbpedia_forbes_4983,DBPedia_4982,Forbes_654,JFE Holdings,JFE Holdings,100,DBPedia_4982Forbes_654
dbpedia_forbes_974,DBPedia_973,Forbes_1112,Realty Income,Realty Income,100,DBPedia_973Forbes_1112
dbpedia_forbes_8195,DBPedia_8194,Forbes_1835,Mid-America Apartment Communities,Mid-america Apartment Communities,100,DBPedia_8194Forbes_1835
dbpedia_forbes_3651,DBPedia_3650,Forbes_1344,Garmin,Garmin,100,DBPedia_3650Forbes_1344
dbpedia_forbes_1148,DBPedia_1147,Forbes_234,Canadian Natural Resources,Canadian Natural Resources,100,DBPedia_1147Forbes_234
dbpedia_forbes_8362,DBPedia_8361,Forbes_489,Pernod Ricard,Pernod Ricard,100,DBPedia_8361Forbes_489
dbpedia_forbes_667,DBPedia_666,Forbes_619,Northern Trust,Northern Trust,100,DBPedia_666Forbes_619
dbpedia_forbes_5068,DBPedia_5067,Forbes_1385,Grupo Elektra,Grupo Elektra,100,DBPedia_5067Forbes_1385
dbpedia_forbes_10454,DBPedia_10453,Forbes_236,Northrop Grumman,Northrop Grumman,100,DBPedia_10453Forbes_236
dbpedia_forbes_5868,DBPedia_5867,Forbes_390,Bank of Shanghai,Bank Of Shanghai,100,DBPedia_5867Forbes_390
dbpedia_forbes_2189,DBPedia_2188,Forbes_1017,Shanghai Pharmaceuticals,Shanghai Pharmaceuticals,100,DBPedia_2188Forbes_1017
dbpedia_forbes_4558,DBPedia_4557,Forbes_1536,Rexel,Rexel,100,DBPedia_4557Forbes_1536
dbpedia_forbes_4929,DBPedia_4928,Forbes_437,Fairfax Financial,Fairfax Financial,100,DBPedia_4928Forbes_437
dbpedia_forbes_2700,DBPedia_2699,Forbes_1497,Acciona,Acciona,100,DBPedia_2699Forbes_1497
dbpedia_forbes_1808,DBPedia_1807,Forbes_195,HCA Healthcare,HCA Healthcare,100,DBPedia_1807Forbes_195
dbpedia_forbes_4430,DBPedia_4429,Forbes_1748,Johnson Matthey,Johnson Matthey,100,DBPedia_4429Forbes_1748
dbpedia_forbes_6747,DBPedia_6746,Forbes_843,CDW,CDW,100,DBPedia_6746Forbes_843
dbpedia_forbes_5926,DBPedia_5925,Forbes_622,Eversource Energy,Eversource Energy,100,DBPedia_5925Forbes_622
dbpedia_forbes_791,DBPedia_790,Forbes_834,Evonik Industries,Evonik Industries,100,DBPedia_790Forbes_834
dbpedia_forbes_7365,DBPedia_7364,Forbes_85,Prudential Financial,Prudential Financial,100,DBPedia_7364Forbes_85
dbpedia_forbes_956,DBPedia_955,Forbes_51,Intel,Intel,100,DBPedia_955Forbes_51
dbpedia_forbes_1591,DBPedia_1590,Forbes_1454,Advance Auto Parts,Advance Auto Parts,100,DBPedia_1590Forbes_1454
dbpedia_forbes_4114,DBPedia_4113,Forbes_290,Dominion Energy,Dominion Energy,100,DBPedia_4113Forbes_290
dbpedia_forbes_5115,DBPedia_5114,Forbes_567,Kimberly-Clark,Kimberly-Clark,100,DBPedia_5114Forbes_567
dbpedia_forbes_8376,DBPedia_8375,Forbes_953,Braskem,Braskem,100,DBPedia_8375Forbes_953
dbpedia_forbes_6565,DBPedia_6564,Forbes_1102,Monster Beverage,Monster Beverage,100,DBPedia_6564Forbes_1102
dbpedia_forbes_5582,DBPedia_5581,Forbes_735,Singtel,SingTel,100,DBPedia_5581Forbes_735
dbpedia_forbes_2251,DBPedia_2250,Forbes_465,Bridgestone,Bridgestone,100,DBPedia_2250Forbes_465
dbpedia_forbes_7500,DBPedia_7499,Forbes_1027,Pegatron,Pegatron,100,DBPedia_7499Forbes_1027
dbpedia_forbes_7954,DBPedia_7953,Forbes_1691,Datadog,Datadog,100,DBPedia_7953Forbes_1691
dbpedia_forbes_3145,DBPedia_3144,Forbes_1610,YPF,YPF ,100,DBPedia_3144Forbes_1610
dbpedia_forbes_2609,DBPedia_2608,Forbes_1523,Mondi,Mondi,100,DBPedia_2608Forbes_1523
dbpedia_forbes_5375,DBPedia_5374,Forbes_1269,Canadian Tire,Canadian Tire,100,DBPedia_5374Forbes_1269
dbpedia_forbes_3700,DBPedia_3699,Forbes_779,American Airlines Group,American Airlines Group,100,DBPedia_3699Forbes_779
dbpedia_forbes_2116,DBPedia_2115,Forbes_635,Inpex,Inpex,100,DBPedia_2115Forbes_635
dbpedia_forbes_3528,DBPedia_3527,Forbes_721,Mitsubishi Heavy Industries,Mitsubishi Heavy Industries,100,DBPedia_3527Forbes_721
dbpedia_forbes_10389,DBPedia_10388,Forbes_445,D. R. Horton,D.R. Horton,100,DBPedia_10388Forbes_445
dbpedia_forbes_8994,DBPedia_8993,Forbes_333,LG Chem,LG Chem,100,DBPedia_8993Forbes_333
dbpedia_forbes_470,DBPedia_469,Forbes_549,Analog Devices,Analog Devices,100,DBPedia_469Forbes_549
dbpedia_forbes_1696,DBPedia_1695,Forbes_864,Daiichi Sankyo,Daiichi Sankyo,100,DBPedia_1695Forbes_864
dbpedia_forbes_10123,DBPedia_10122,Forbes_1802,Cloudflare,Cloudflare,100,DBPedia_10122Forbes_1802
dbpedia_forbes_5400,DBPedia_5399,Forbes_1475,Verisk Analytics,Verisk Analytics,100,DBPedia_5399Forbes_1475
dbpedia_forbes_5748,DBPedia_5747,Forbes_50,BP,BP,100,DBPedia_5747Forbes_50
dbpedia_forbes_2875,DBPedia_2874,Forbes_31,China Mobile,China Mobile,100,DBPedia_2874Forbes_31
dbpedia_forbes_7748,DBPedia_7747,Forbes_832,CMS Energy,CMS Energy,100,DBPedia_7747Forbes_832
dbpedia_forbes_1353,DBPedia_1352,Forbes_1375,Galp Energia,Galp Energia,100,DBPedia_1352Forbes_1375
dbpedia_forbes_2673,DBPedia_2672,Forbes_1508,A2A,A2A,100,DBPedia_2672Forbes_1508
dbpedia_forbes_6553,DBPedia_6552,Forbes_1437,Thor Industries,Thor Industries,100,DBPedia_6552Forbes_1437
dbpedia_forbes_5215,DBPedia_5214,Forbes_1640,World Fuel Services,World Fuel Services,100,DBPedia_5214Forbes_1640
dbpedia_forbes_1604,DBPedia_1603,Forbes_715,Ageas,Ageas,100,DBPedia_1603Forbes_715
dbpedia_forbes_8858,DBPedia_8857,Forbes_860,International Flavors & Fragrances,International Flavors & Fragrances,100,DBPedia_8857Forbes_860
dbpedia_forbes_9975,DBPedia_9974,Forbes_1128,Bath & Body Works,Bath & Body Works,100,DBPedia_9974Forbes_1128
dbpedia_forbes_5395,DBPedia_5394,Forbes_1629,CrowdStrike,CrowdStrike,100,DBPedia_5394Forbes_1629
dbpedia_forbes_7795,DBPedia_7794,Forbes_800,WestRock,WestRock,100,DBPedia_7794Forbes_800
dbpedia_forbes_7195,DBPedia_7194,Forbes_631,Southwest Airlines,Southwest Airlines,100,DBPedia_7194Forbes_631
dbpedia_forbes_4401,DBPedia_4400,Forbes_1377,Royal Caribbean Group,Royal Caribbean Group,100,DBPedia_4400Forbes_1377
dbpedia_forbes_460,DBPedia_459,Forbes_1775,Toll Brothers,Toll Brothers,100,DBPedia_459Forbes_1775
dbpedia_forbes_4573,DBPedia_4572,Forbes_922,Shopify,Shopify,100,DBPedia_4572Forbes_922
dbpedia_forbes_1370,DBPedia_1369,Forbes_1685,Strabag,STRABAG,100,DBPedia_1369Forbes_1685
dbpedia_forbes_454,DBPedia_453,Forbes_39,BNP Paribas,BNP Paribas,100,DBPedia_453Forbes_39
dbpedia_forbes_9292,DBPedia_9291,Forbes_1460,Valeo,Valeo,100,DBPedia_9291Forbes_1460
dbpedia_forbes_568,DBPedia_567,Forbes_62,Bank of Communications,Bank of Communications,100,DBPedia_567Forbes_62
dbpedia_forbes_7096,DBPedia_7095,Forbes_556,Dollar Tree,Dollar Tree,100,DBPedia_7095Forbes_556
dbpedia_forbes_5109,DBPedia_5108,Forbes_1441,KION Group,KION Group,100,DBPedia_5108Forbes_1441
dbpedia_forbes_2982,DBPedia_2981,Forbes_1313,Arista Networks,Arista Networks,100,DBPedia_2981Forbes_1313
dbpedia_forbes_10651,DBPedia_10650,Forbes_1376,Nexon,NEXON,100,DBPedia_10650Forbes_1376
dbpedia_forbes_2278,DBPedia_2277,Forbes_226,Schneider Electric,Schneider Electric,100,DBPedia_2277Forbes_226
dbpedia_forbes_737,DBPedia_736,Forbes_1687,Chang Hwa Bank,Chang Hwa Bank,100,DBPedia_736Forbes_1687
dbpedia_forbes_3737,DBPedia_3736,Forbes_391,American Tower,American Tower,100,DBPedia_3736Forbes_391
dbpedia_forbes_873,DBPedia_872,Forbes_56,Sony,Sony,100,DBPedia_872Forbes_56
dbpedia_forbes_9469,DBPedia_9468,Forbes_303,Starbucks,Starbucks,100,DBPedia_9468Forbes_303
dbpedia_forbes_2197,DBPedia_2196,Forbes_672,Neste,Neste,100,DBPedia_2196Forbes_672
dbpedia_forbes_783,DBPedia_782,Forbes_1316,Flutter Entertainment,Flutter Entertainment,100,DBPedia_782Forbes_1316
dbpedia_forbes_3934,DBPedia_3933,Forbes_332,Nippon Steel,Nippon Steel ,100,DBPedia_3933Forbes_332
dbpedia_forbes_4910,DBPedia_4909,Forbes_1639,Nitto Denko,Nitto Denko,100,DBPedia_4909Forbes_1639
dbpedia_forbes_970,DBPedia_969,Forbes_281,Nutrien,Nutrien,100,DBPedia_969Forbes_281
dbpedia_forbes_9585,DBPedia_9584,Forbes_1764,Akamai Technologies,Akamai Technologies,100,DBPedia_9584Forbes_1764
dbpedia_forbes_5672,DBPedia_5671,Forbes_1010,Edwards Lifesciences,Edwards Lifesciences,100,DBPedia_5671Forbes_1010
dbpedia_forbes_4605,DBPedia_4604,Forbes_1936,Ansys,Ansys,100,DBPedia_4604Forbes_1936
dbpedia_forbes_8970,DBPedia_8969,Forbes_1138,China Huarong Asset Management,China Huarong Asset Management,100,DBPedia_8969Forbes_1138
dbpedia_forbes_2345,DBPedia_2344,Forbes_973,Sasol,Sasol,100,DBPedia_2344Forbes_973
dbpedia_forbes_850,DBPedia_849,Forbes_506,Lam Research,Lam Research,100,DBPedia_849Forbes_506
dbpedia_forbes_9693,DBPedia_9692,Forbes_1142,Itaúsa,Itaúsa,100,DBPedia_9692Forbes_1142
dbpedia_forbes_5106,DBPedia_5105,Forbes_202,L'Oréal,L'Oréal,100,DBPedia_5105Forbes_202
dbpedia_forbes_3075,DBPedia_3074,Forbes_262,Suncor Energy,Suncor Energy,100,DBPedia_3074Forbes_262
