Match ID,sbti_uid,forbes_uid,sbti_company,forbes_company,Similarity Score,sbti_fobes_uids
sbti_forbes_2674,SBTI_2674,Forbes_584,Inmarsat Global Limited,Liberty Global,54,SBTI_2674Forbes_584
sbti_forbes_4447,SBTI_4447,Forbes_1510,Red-Inc ltd,Incyte,59,SBTI_4447Forbes_1510
sbti_forbes_3366,SBTI_3366,Forbes_1173,Mahindra World City Developers Ltd,New World Development,58,SBTI_3366Forbes_1173
sbti_forbes_1437,SBTI_1437,Forbes_177,"Devo, Inc",VINCI,62,SBTI_1437Forbes_177
sbti_forbes_2401,SBTI_2401,Forbes_1844,Heinzel Holding GmbH,Chr. Hansen Holding,68,SBTI_2401Forbes_1844
sbti_forbes_3541,SBTI_3541,Forbes_581,Mewburn Ellis LLP,Illinois Tool Works,50,SBTI_3541Forbes_581
sbti_forbes_66,SBTI_66,Forbes_653,Ace & Tate Holding B.V.,ASE Technology Holding,62,SBTI_66Forbes_653
sbti_forbes_3471,SBTI_3471,Forbes_709,"McKinsey & Company, Inc.",The Mosaic Company,63,SBTI_3471Forbes_709
sbti_forbes_292,SBTI_292,Forbes_1168,AMF FASTIGHETER AB,Fastighets Balder,63,SBTI_292Forbes_1168
sbti_forbes_2213,SBTI_2213,Forbes_240,Greencore Group plc,Legal & General Group,63,SBTI_2213Forbes_240
sbti_forbes_4540,SBTI_4540,Forbes_1282,Roca Group,Olam Group,80,SBTI_4540Forbes_1282
sbti_forbes_3298,SBTI_3298,Forbes_52,LTP Group A/S,TD Bank Group,69,SBTI_3298Forbes_52
sbti_forbes_5487,SBTI_5487,Forbes_1982,TMG Automotive,Group 1 Automotive,75,SBTI_5487Forbes_1982
sbti_forbes_4913,SBTI_4913,Forbes_651,SIRO DAC,Grupo ACS,59,SBTI_4913Forbes_651
sbti_forbes_5744,SBTI_5744,Forbes_594,Vakrangee Limited,Vedanta Limited,69,SBTI_5744Forbes_594
sbti_forbes_1833,SBTI_1833,Forbes_1959,Far Eastern New Century Corporation,Far Eastern New Century,79,SBTI_1833Forbes_1959
sbti_forbes_2472,SBTI_2472,Forbes_145,"Hitachi, Ltd.",Hitachi,78,SBTI_2472Forbes_145
sbti_forbes_1083,SBTI_1083,Forbes_857,Cirka,Sika,67,SBTI_1083Forbes_857
sbti_forbes_5929,SBTI_5929,Forbes_928,Weichert Workforce Mobility,American Water Works,47,SBTI_5929Forbes_928
sbti_forbes_368,SBTI_368,Forbes_285,Arcadis NV,Novo Nordisk,64,SBTI_368Forbes_285
sbti_forbes_784,SBTI_784,Forbes_1083,Boyd Plastic and Metal Parts (Shenzhen) Co. Ltd,Shenzhen Mindray Bio-Medical Electronics,50,SBTI_784Forbes_1083
sbti_forbes_438,SBTI_438,Forbes_1164,ASKUL Corporation,CJ Corporation,77,SBTI_438Forbes_1164
sbti_forbes_3252,SBTI_3252,Forbes_585,LIVEKINDLY Collective,Colgate-Palmolive,53,SBTI_3252Forbes_585
sbti_forbes_2254,SBTI_2254,Forbes_417,GROUPE RENAULT,RWE Group,70,SBTI_2254Forbes_417
sbti_forbes_1090,SBTI_1090,Forbes_1241,City Facilities Management Holdings Ltd (UK),Top Frontier Investment Holdings,54,SBTI_1090Forbes_1241
sbti_forbes_3075,SBTI_3075,Forbes_875,Kontoor Brands,Conagra Brands,71,SBTI_3075Forbes_875
sbti_forbes_1933,SBTI_1933,Forbes_1697,Ford Otomotiv Sanayi A.S ( Ford Otosan),Shanghai Commercial & Savings Bank,47,SBTI_1933Forbes_1697
sbti_forbes_4115,SBTI_4115,Forbes_208,"PACIFIC CONSULTANTS CO.,LTD.",China Pacific Insurance,61,SBTI_4115Forbes_208
sbti_forbes_3531,SBTI_3531,Forbes_74,"MetLife, Inc.",MetLife,78,SBTI_3531Forbes_74
sbti_forbes_353,SBTI_353,Forbes_1412,Aquam Water Services Limited,Quanta Services,60,SBTI_353Forbes_1412
sbti_forbes_3758,SBTI_3758,Forbes_1153,Native Shoes,Altice USA,55,SBTI_3758Forbes_1153
sbti_forbes_2226,SBTI_2226,Forbes_369,Grenergy Renovables S.A,Valero Energy,61,SBTI_2226Forbes_369
sbti_forbes_2464,SBTI_2464,Forbes_1665,Hinomaru Jidousya Co.Ltd,China Shipbuilding Industry,55,SBTI_2464Forbes_1665
sbti_forbes_1660,SBTI_1660,Forbes_1436,Elopak AS,Osaka Gas,67,SBTI_1660Forbes_1436
sbti_forbes_2963,SBTI_2963,Forbes_827,KDS GARMENTS INDUSTRIES LTD.,Grasim Industries,64,SBTI_2963Forbes_827
sbti_forbes_2782,SBTI_2782,Forbes_1272,Ivanhoé Cambridge,Sichuan Road & Bridge,57,SBTI_2782Forbes_1272
sbti_forbes_717,SBTI_717,Forbes_102,BJSS,UBS,57,SBTI_717Forbes_102
sbti_forbes_5354,SBTI_5354,Forbes_597,TETRA PAK,Telstra,62,SBTI_5354Forbes_597
sbti_forbes_3415,SBTI_3415,Forbes_890,Martin & Servera-gruppen,Universal Music Group,56,SBTI_3415Forbes_890
sbti_forbes_4664,SBTI_4664,Forbes_1680,Sapphire Balconies Ltd,Singapore Airlines,55,SBTI_4664Forbes_1680
sbti_forbes_5205,SBTI_5205,Forbes_594,Synlait Milk Limited,Vedanta Limited,57,SBTI_5205Forbes_594
sbti_forbes_2379,SBTI_2379,Forbes_1391,HAYASHI Inc.,Obayashi,63,SBTI_2379Forbes_1391
sbti_forbes_3653,SBTI_3653,Forbes_1489,Moonpig Group plc,Kingspan Group PLC,69,SBTI_3653Forbes_1489
sbti_forbes_3966,SBTI_3966,Forbes_1425,O. Kavli AB (Kavli Sweden) & Kavli Oy (Kavli Finland),Kawasaki Kisen Kaisha,39,SBTI_3966Forbes_1425
sbti_forbes_1078,SBTI_1078,Forbes_1868,Cikautxo,Saputo,57,SBTI_1078Forbes_1868
sbti_forbes_1743,SBTI_1743,Forbes_1577,ESPEC Corp.,News Corp,74,SBTI_1743Forbes_1577
sbti_forbes_1094,SBTI_1094,Forbes_413,CJCHT Groups,BT Group,70,SBTI_1094Forbes_413
sbti_forbes_5426,SBTI_5426,Forbes_709,The Positive Thinking Company S.A.,The Mosaic Company,59,SBTI_5426Forbes_709
sbti_forbes_4064,SBTI_4064,Forbes_750,Origin Energy,NRG Energy,78,SBTI_4064Forbes_750
sbti_forbes_2588,SBTI_2588,Forbes_219,ICL Group LTD,Midea Group,67,SBTI_2588Forbes_219
sbti_forbes_5896,SBTI_5896,Forbes_1520,Wackler Holding SE,Wharf (Holdings),75,SBTI_5896Forbes_1520
sbti_forbes_1792,SBTI_1792,Forbes_210,EVN AG,Amgen,73,SBTI_1792Forbes_210
sbti_forbes_5541,SBTI_5541,Forbes_1493,"Toufuku Tankou Co,Ltd.",Bank of Jinzhou,44,SBTI_5541Forbes_1493
sbti_forbes_2093,SBTI_2093,Forbes_742,GENESIS FASHIONS LIMITED,United Airlines Holdings,50,SBTI_2093Forbes_742
sbti_forbes_5674,SBTI_5674,Forbes_1320,"Ultrafabrics Holdings Co., Ltd.",CF Industries Holdings,68,SBTI_5674Forbes_1320
sbti_forbes_1810,SBTI_1810,Forbes_1009,EY,eBay,67,SBTI_1810Forbes_1009
sbti_forbes_2192,SBTI_2192,Forbes_948,GRAHAM,Sanlam,50,SBTI_2192Forbes_948
sbti_forbes_11,SBTI_11,Forbes_8,"80 Acres Urban Agriculture, Inc",Agricultural Bank of China,50,SBTI_11Forbes_8
sbti_forbes_4892,SBTI_4892,Forbes_125,SILVERA,Unilever,67,SBTI_4892Forbes_125
sbti_forbes_1570,SBTI_1570,Forbes_47,easyJet plc,Nestlé,50,SBTI_1570Forbes_47
sbti_forbes_4482,SBTI_4482,Forbes_1405,ReNew Energy Global PLC,Berry Global Group,59,SBTI_4482Forbes_1405
sbti_forbes_2814,SBTI_2814,Forbes_1420,Jaguar Land Rover Automotive plc,China Grand Automotive Services,63,SBTI_2814Forbes_1420
sbti_forbes_1264,SBTI_1264,Forbes_1258,Craze,Raizen,73,SBTI_1264Forbes_1258
sbti_forbes_4301,SBTI_4301,Forbes_1821,Primient,Prysmian,62,SBTI_4301Forbes_1821
sbti_forbes_3068,SBTI_3068,Forbes_530,Konecranes Oyj,Orange,50,SBTI_3068Forbes_530
sbti_forbes_4026,SBTI_4026,Forbes_1711,OMRON Corporation,Sumec Corporation,76,SBTI_4026Forbes_1711
sbti_forbes_4703,SBTI_4703,Forbes_1552,Schindler Group,Scentre Group,71,SBTI_4703Forbes_1552
sbti_forbes_476,SBTI_476,Forbes_1700,Atresmedia,ResMed,75,SBTI_476Forbes_1700
sbti_forbes_2755,SBTI_2755,Forbes_727,ISDIN S.A.,Aisin Seiki,70,SBTI_2755Forbes_727
sbti_forbes_2284,SBTI_2284,Forbes_1848,Gruppo Amadori_GESCO Sca,Amadeus IT Group ,60,SBTI_2284Forbes_1848
sbti_forbes_1644,SBTI_1644,Forbes_79,Elementis,Stellantis,63,SBTI_1644Forbes_79
sbti_forbes_5085,SBTI_5085,Forbes_176,Sterlite Technologies,Dell Technologies,79,SBTI_5085Forbes_176
sbti_forbes_3646,SBTI_3646,Forbes_1234,Monnoyeur,Goodyear,59,SBTI_3646Forbes_1234
sbti_forbes_3637,SBTI_3637,Forbes_974,Molson Coors Brewing Company,Molson Coors Brewing,83,SBTI_3637Forbes_974
sbti_forbes_3708,SBTI_3708,Forbes_168,Mycronic,Medtronic,71,SBTI_3708Forbes_168
sbti_forbes_984,SBTI_984,Forbes_1666,CECONOMY AG,Ceconomy,84,SBTI_984Forbes_1666
sbti_forbes_5206,SBTI_5206,Forbes_1239,"Synopsys, Inc.",Synopsys,80,SBTI_5206Forbes_1239
sbti_forbes_428,SBTI_428,Forbes_858,"Asia Air Survey Co.,Ltd.",Signature Bank,50,SBTI_428Forbes_858
sbti_forbes_532,SBTI_532,Forbes_1040,Axiata Group Berhad,Ashtead Group,69,SBTI_532Forbes_1040
sbti_forbes_4507,SBTI_4507,Forbes_1578,Rhenus Lub GmbH & Co KG,China Resources Gas Group,48,SBTI_4507Forbes_1578
sbti_forbes_2877,SBTI_2877,Forbes_162,Jokey SE,Lowe's,57,SBTI_2877Forbes_162
sbti_forbes_1028,SBTI_1028,Forbes_1471,"Charoen Pokphand Group Co., Ltd.",Charoen Pokphand Foods,78,SBTI_1028Forbes_1471
sbti_forbes_2110,SBTI_2110,Forbes_432,Gerald Edelman LLP,General Mills,58,SBTI_2110Forbes_432
sbti_forbes_936,SBTI_936,Forbes_1313,"Carbon Free Network, Inc.",Arista Networks,58,SBTI_936Forbes_1313
sbti_forbes_336,SBTI_336,Forbes_264,apetito (UK) Limited,Air Liquide,48,SBTI_336Forbes_264
sbti_forbes_907,SBTI_907,Forbes_1269,Canadian Solar Inc.,Canadian Tire,71,SBTI_907Forbes_1269
sbti_forbes_1332,SBTI_1332,Forbes_1225,Dairygold Food Ingredients UK Ltd.,Turkish Airlines,49,SBTI_1332Forbes_1225
sbti_forbes_51,SBTI_51,Forbes_75,ABP Food Group,BHP Group,70,SBTI_51Forbes_75
sbti_forbes_553,SBTI_553,Forbes_189,Bacardi Limited,Canadian Imperial Bank,54,SBTI_553Forbes_189
sbti_forbes_318,SBTI_318,Forbes_48,Anora Group Plc,AXA Group,67,SBTI_318Forbes_48
sbti_forbes_5207,SBTI_5207,Forbes_1240,Synpulse International AG,Datang International Power,75,SBTI_5207Forbes_1240
sbti_forbes_2934,SBTI_2934,Forbes_629,Karl Marbach GmbH & Co.KG,Kotak Mahindra Bank,48,SBTI_2934Forbes_629
sbti_forbes_4086,SBTI_4086,Forbes_1136,Össur hf.,J Sainsbury,56,SBTI_4086Forbes_1136
sbti_forbes_212,SBTI_212,Forbes_983,All for One Group SE,Agile Group Holdings,60,SBTI_212Forbes_983
sbti_forbes_2890,SBTI_2890,Forbes_1047,Juan José Albarracin S.A.,Wan Hai Lines,50,SBTI_2890Forbes_1047
sbti_forbes_5592,SBTI_5592,Forbes_281,TREND,Nutrien,67,SBTI_5592Forbes_281
sbti_forbes_2828,SBTI_2828,Forbes_157,JAPAN.DELIVERY.SYSTEM,Japan Post Holdings,55,SBTI_2828Forbes_157
sbti_forbes_34,SBTI_34,Forbes_1307,AB Fagerhult,AIB Group,57,SBTI_34Forbes_1307
sbti_forbes_2104,SBTI_2104,Forbes_961,GEODIS,GS Holdings,59,SBTI_2104Forbes_961
sbti_forbes_2729,SBTI_2729,Forbes_282,Inwido AB,Investor AB,60,SBTI_2729Forbes_282
sbti_forbes_5477,SBTI_5477,Forbes_199,Timberlink Australia | New Zealand,NAB - National Australia Bank,54,SBTI_5477Forbes_199
sbti_forbes_4671,SBTI_4671,Forbes_137,Sarawak Energy Berhad,China Shenhua Energy,59,SBTI_4671Forbes_137
sbti_forbes_2977,SBTI_2977,Forbes_466,Kemira Oyj,Emirates NBD,55,SBTI_2977Forbes_466
sbti_forbes_2789,SBTI_2789,Forbes_1572,"IWATANI JUUKEN Co.,Ltd.",Rocket Companies,49,SBTI_2789Forbes_1572
sbti_forbes_2721,SBTI_2721,Forbes_1001,Intrepid Travel,Toray Industries,58,SBTI_2721Forbes_1001
sbti_forbes_6122,SBTI_6122,Forbes_326,ZEUS PACKAGING GROUP LIMITED,Zijin Mining Group,57,SBTI_6122Forbes_326
sbti_forbes_2033,SBTI_2033,Forbes_373,"Furugori Construction Co.,Ltd.",China Railway Construction,67,SBTI_2033Forbes_373
sbti_forbes_3866,SBTI_3866,Forbes_407,"Nissin Electric Co., Ltd.",Mitsubishi Electric,63,SBTI_3866Forbes_407
sbti_forbes_3959,SBTI_3959,Forbes_1097,Nyskördade Morötter i Fjälkinge AB,China Southern Airlines,48,SBTI_3959Forbes_1097
sbti_forbes_3620,SBTI_3620,Forbes_769,MJ Gleeson PLC,Henderson Land,50,SBTI_3620Forbes_769
sbti_forbes_201,SBTI_201,Forbes_1615,Alfa Laval AB,AB Sagax,48,SBTI_201Forbes_1615
sbti_forbes_1067,SBTI_1067,Forbes_1164,Chung Hwa Pulp Corporation,CJ Corporation,65,SBTI_1067Forbes_1164
sbti_forbes_719,SBTI_719,Forbes_52,BKUK Group Ltd,TD Bank Group,81,SBTI_719Forbes_52
sbti_forbes_2120,SBTI_2120,Forbes_52,"GIFU BELT CO.,LTD.",TD Bank Group,48,SBTI_2120Forbes_52
sbti_forbes_4921,SBTI_4921,Forbes_1586,"SK Networks Co., Ltd.",Palo Alto Networks,67,SBTI_4921Forbes_1586
sbti_forbes_3978,SBTI_3978,Forbes_386,OC&C Strategy Consultants,Tata Consultancy Services,56,SBTI_3978Forbes_386
sbti_forbes_5897,SBTI_5897,Forbes_1844,"WADA WELDING ,LLC",Chr. Hansen Holding,53,SBTI_5897Forbes_1844
sbti_forbes_4060,SBTI_4060,Forbes_1576,Oriental Aromatics Ltd,Oriental Land,63,SBTI_4060Forbes_1576
sbti_forbes_3538,SBTI_3538,Forbes_630,Metso Outotec,Teck Resources,52,SBTI_3538Forbes_630
sbti_forbes_3943,SBTI_3943,Forbes_709,NTT Docomo Inc.,The Mosaic Company,50,SBTI_3943Forbes_709
sbti_forbes_2374,SBTI_2374,Forbes_1447,Hauser & Wirth,Church & Dwight,56,SBTI_2374Forbes_1447
sbti_forbes_4692,SBTI_4692,Forbes_448,Scandi Standard AB,Standard Bank Group,65,SBTI_4692Forbes_448
sbti_forbes_5030,SBTI_5030,Forbes_1760,Splunk Inc.,Lindt & Sprungli,58,SBTI_5030Forbes_1760
sbti_forbes_3583,SBTI_3583,Forbes_847,Mintel Group Limited,MTN Group,62,SBTI_3583Forbes_847
sbti_forbes_6083,SBTI_6083,Forbes_1022,Yokogawa Rental ＆ Lease Corporation,iA Financial Corporation,63,SBTI_6083Forbes_1022
sbti_forbes_3261,SBTI_3261,Forbes_506,Lloyd’s Register,Lam Research,50,SBTI_3261Forbes_506
sbti_forbes_5985,SBTI_5985,Forbes_1827,"Winkuan ihome Solutions Co., Ltd.",Yunnan Copper Co. Ltd.,60,SBTI_5985Forbes_1827
sbti_forbes_2066,SBTI_2066,Forbes_663,Gattaca PLC,Atlas Copco,55,SBTI_2066Forbes_663
sbti_forbes_3022,SBTI_3022,Forbes_122,KIRKBI A/S,AIRBUS,62,SBTI_3022Forbes_122
sbti_forbes_4770,SBTI_4770,Forbes_1711,Sengenics Corporate Pte Ltd,Sumec Corporation,55,SBTI_4770Forbes_1711
sbti_forbes_2543,SBTI_2543,Forbes_18,Hugh Lowe Farms Ltd,Wells Fargo,47,SBTI_2543Forbes_18
sbti_forbes_4795,SBTI_4795,Forbes_1017,"SHANGHAI HUICHEN RESEARCH CO.,LTD",Shanghai Pharmaceuticals,54,SBTI_4795Forbes_1017
sbti_forbes_6046,SBTI_6046,Forbes_594,Xtrac Limited,Vedanta Limited,71,SBTI_6046Forbes_594
sbti_forbes_2308,SBTI_2308,Forbes_105,Gulermak Steel Construction Ind. & Trade Co. Inc.,China State Construction Engineering,60,SBTI_2308Forbes_105
sbti_forbes_5666,SBTI_5666,Forbes_895,Uhlmann Group Holding GmbH & Co. KG,CIMB Group Holdings,67,SBTI_5666Forbes_895
sbti_forbes_3417,SBTI_3417,Forbes_612,Martur Fompak International,Marriott International,73,SBTI_3417Forbes_612
sbti_forbes_5176,SBTI_5176,Forbes_724,SVOLT Energy Technology,Longi Green Energy Technology,73,SBTI_5176Forbes_724
sbti_forbes_3182,SBTI_3182,Forbes_1796,LECTA,Lear,67,SBTI_3182Forbes_1796
sbti_forbes_739,SBTI_739,Forbes_711,BNSF Railway,Daqin Railway,72,SBTI_739Forbes_711
sbti_forbes_5381,SBTI_5381,Forbes_230,The Clorox Company,Southern Company,65,SBTI_5381Forbes_230
sbti_forbes_1621,SBTI_1621,Forbes_983,eGroup Holding GmbH,Agile Group Holdings,72,SBTI_1621Forbes_983
sbti_forbes_3799,SBTI_3799,Forbes_1586,Network Plus Services Limited,Palo Alto Networks,55,SBTI_3799Forbes_1586
sbti_forbes_3668,SBTI_3668,Forbes_749,Morssinkhof Plastics,Formosa Plastics,67,SBTI_3668Forbes_749
sbti_forbes_3031,SBTI_3031,Forbes_1058,Klimasan AŞ,Alinma Bank,64,SBTI_3031Forbes_1058
sbti_forbes_235,SBTI_235,Forbes_826,Alpek S.A.B. de C.V.,St. James's Place,47,SBTI_235Forbes_826
sbti_forbes_5661,SBTI_5661,Forbes_928,Udaipur Cement Works Limited,American Water Works,54,SBTI_5661Forbes_928
sbti_forbes_2403,SBTI_2403,Forbes_1370,"Heiwa Real Estate Co., Ltd.",Powerlong Real Estate ,62,SBTI_2403Forbes_1370
sbti_forbes_1691,SBTI_1691,Forbes_1823,ENEIDA.IO,Info Edge India,58,SBTI_1691Forbes_1823
sbti_forbes_1948,SBTI_1948,Forbes_1846,"FORMULARIOS EUROPEOS, S.A.",Aeroports de Paris,57,SBTI_1948Forbes_1846
sbti_forbes_195,SBTI_195,Forbes_949,Aldar Properties PJSC,Emaar Properties,76,SBTI_195Forbes_949
sbti_forbes_2510,SBTI_2510,Forbes_1271,Hop Lun,New Hope Liuhe,67,SBTI_2510Forbes_1271
sbti_forbes_3247,SBTI_3247,Forbes_1138,Liontrust Asset Management Plc,China Huarong Asset Management,67,SBTI_3247Forbes_1138
sbti_forbes_3063,SBTI_3063,Forbes_497,"KOMATSU WALL INDUSTRY CO., LTD.",Shaanxi Coal Industry,57,SBTI_3063Forbes_497
sbti_forbes_4144,SBTI_4144,Forbes_1920,Parade,Parkland,71,SBTI_4144Forbes_1920
sbti_forbes_3152,SBTI_3152,Forbes_1826,"Land O'Lakes, Inc.",ICON (Ireland),57,SBTI_3152Forbes_1826
sbti_forbes_3352,SBTI_3352,Forbes_1063,Mahindra & Mahindra Limited,Mahindra & Mahindra,81,SBTI_3352Forbes_1063
sbti_forbes_1406,SBTI_1406,Forbes_874,DELTA Fiber Nederland B.V.,Asr Nederland,63,SBTI_1406Forbes_874
sbti_forbes_4239,SBTI_4239,Forbes_574,Plantasjen Group AS,Asahi Group Holdings,62,SBTI_4239Forbes_574
sbti_forbes_4790,SBTI_4790,Forbes_1933,"SHANDONG NHU PHARMACEUTICAL CO., LTD.",Shanghai Fosun Pharmaceutical,73,SBTI_4790Forbes_1933
sbti_forbes_988,SBTI_988,Forbes_1068,Celonis,Celanese,67,SBTI_988Forbes_1068
sbti_forbes_3816,SBTI_3816,Forbes_1722,Nexi SpA,Nexi S.p.A.,67,SBTI_3816Forbes_1722
