Match ID,dbpedia_uid,sbti_uid,dbpedia_company,sbti_company,Similarity Score,dbpedia_sbti_uids
dbpedia_sbti_3821,DBPedia_3820,SBTI_5510,Tokuyama Corporation,Tokuyama Corporation,100,DBPedia_3820SBTI_5510
dbpedia_sbti_2808,DBPedia_2807,SBTI_5656,UBE Corporation,UBE Corporation,100,DBPedia_2807SBTI_5656
dbpedia_sbti_8222,DBPedia_8221,SBTI_3027,Kiwi Property Group,Kiwi Property Group,100,DBPedia_8221SBTI_3027
dbpedia_sbti_6508,DBPedia_6507,SBTI_4717,Schwarz Gruppe,Schwarz Gruppe,100,DBPedia_6507SBTI_4717
dbpedia_sbti_8362,DBPedia_8361,SBTI_4192,Pernod Ricard,Pernod Ricard,100,DBPedia_8361SBTI_4192
dbpedia_sbti_9270,DBPedia_9269,SBTI_4181,Pennon Group,Pennon Group,100,DBPedia_9269SBTI_4181
dbpedia_sbti_2726,DBPedia_2725,SBTI_1303,Currys plc,Currys plc,100,DBPedia_2725SBTI_1303
dbpedia_sbti_218,DBPedia_217,SBTI_5442,The Walt Disney Company,The Walt Disney Company,100,DBPedia_217SBTI_5442
dbpedia_sbti_5560,DBPedia_5559,SBTI_3652,Moody's Corporation,Moody's Corporation,100,DBPedia_5559SBTI_3652
dbpedia_sbti_5332,DBPedia_5331,SBTI_2618,Imagination Technologies,Imagination Technologies,100,DBPedia_5331SBTI_2618
dbpedia_sbti_2683,DBPedia_2682,SBTI_1353,Danone,Danone,100,DBPedia_2682SBTI_1353
dbpedia_sbti_3521,DBPedia_3520,SBTI_2185,Goodman Group,Goodman Group,100,DBPedia_3520SBTI_2185
dbpedia_sbti_4395,DBPedia_4394,SBTI_4537,Robert Bosch GmbH,Robert Bosch GmbH,100,DBPedia_4394SBTI_4537
dbpedia_sbti_9449,DBPedia_9448,SBTI_3199,Lendlease,Lendlease,100,DBPedia_9448SBTI_3199
dbpedia_sbti_8637,DBPedia_8636,SBTI_1681,En+ Group,En+ Group,100,DBPedia_8636SBTI_1681
dbpedia_sbti_7867,DBPedia_7866,SBTI_563,Baker McKenzie,Baker McKenzie,100,DBPedia_7866SBTI_563
dbpedia_sbti_10213,DBPedia_10212,SBTI_4883,Sika AG,Sika AG,100,DBPedia_10212SBTI_4883
dbpedia_sbti_2692,DBPedia_2691,SBTI_5475,Tiffany & Co.,Tiffany & Co.,100,DBPedia_2691SBTI_5475
dbpedia_sbti_9958,DBPedia_9957,SBTI_4670,Saputo Inc.,Saputo Inc.,100,DBPedia_9957SBTI_4670
dbpedia_sbti_9975,DBPedia_9974,SBTI_601,Bath & Body Works,Bath & Body Works,100,DBPedia_9974SBTI_601
dbpedia_sbti_99,DBPedia_98,SBTI_4587,Rubix,Rubix,100,DBPedia_98SBTI_4587
dbpedia_sbti_7944,DBPedia_7943,SBTI_484,Audley Travel,Audley Travel,100,DBPedia_7943SBTI_484
dbpedia_sbti_4145,DBPedia_4144,SBTI_399,Artelia,Artelia,100,DBPedia_4144SBTI_399
dbpedia_sbti_8041,DBPedia_8040,SBTI_1908,Flint Group,Flint Group,100,DBPedia_8040SBTI_1908
dbpedia_sbti_2656,DBPedia_2655,SBTI_238,Alphabet Inc.,Alphabet Inc.,100,DBPedia_2655SBTI_238
dbpedia_sbti_7097,DBPedia_7096,SBTI_3320,LVMH,LVMH,100,DBPedia_7096SBTI_3320
dbpedia_sbti_1345,DBPedia_1344,SBTI_4612,Safran,Safran,100,DBPedia_1344SBTI_4612
dbpedia_sbti_1341,DBPedia_1340,SBTI_3342,"Macy's, Inc.","Macy's, Inc.",100,DBPedia_1340SBTI_3342
dbpedia_sbti_10554,DBPedia_10553,SBTI_2931,Kao Corporation,KAO Corporation,100,DBPedia_10553SBTI_2931
dbpedia_sbti_2252,DBPedia_2251,SBTI_4377,Qinetiq,Qinetiq,100,DBPedia_2251SBTI_4377
dbpedia_sbti_2882,DBPedia_2881,SBTI_1805,Experian,Experian,100,DBPedia_2881SBTI_1805
dbpedia_sbti_2854,DBPedia_2853,SBTI_1747,EssilorLuxottica,EssilorLuxottica,100,DBPedia_2853SBTI_1747
dbpedia_sbti_3605,DBPedia_3604,SBTI_3268,Logista,Logista,100,DBPedia_3604SBTI_3268
dbpedia_sbti_9063,DBPedia_9062,SBTI_2488,Höganäs AB,Höganäs AB,100,DBPedia_9062SBTI_2488
dbpedia_sbti_3062,DBPedia_3061,SBTI_5204,Syngenta,Syngenta,100,DBPedia_3061SBTI_5204
dbpedia_sbti_451,DBPedia_450,SBTI_163,Airbus,Airbus,100,DBPedia_450SBTI_163
dbpedia_sbti_7545,DBPedia_7544,SBTI_3211,Levi Strauss & Co.,Levi Strauss & Co.,100,DBPedia_7544SBTI_3211
dbpedia_sbti_996,DBPedia_995,SBTI_2625,Imperial Brands,Imperial Brands,100,DBPedia_995SBTI_2625
dbpedia_sbti_5292,DBPedia_5291,SBTI_6071,Yaskawa Electric Corporation,Yaskawa Electric Corporation,100,DBPedia_5291SBTI_6071
dbpedia_sbti_4131,DBPedia_4130,SBTI_1488,DocuSign,DocuSign,100,DBPedia_4130SBTI_1488
dbpedia_sbti_8518,DBPedia_8517,SBTI_2058,Gap Inc.,Gap Inc.,100,DBPedia_8517SBTI_2058
dbpedia_sbti_7552,DBPedia_7551,SBTI_351,Aptiv,Aptiv,100,DBPedia_7551SBTI_351
dbpedia_sbti_5155,DBPedia_5154,SBTI_5211,Sysmex Corporation,SYSMEX CORPORATION,100,DBPedia_5154SBTI_5211
dbpedia_sbti_1055,DBPedia_1054,SBTI_2583,ICA Gruppen,ICA Gruppen,100,DBPedia_1054SBTI_2583
dbpedia_sbti_6865,DBPedia_6864,SBTI_733,BMC Software,BMC Software,100,DBPedia_6864SBTI_733
dbpedia_sbti_2852,DBPedia_2851,SBTI_5401,The Hershey Company,The Hershey Company,100,DBPedia_2851SBTI_5401
dbpedia_sbti_9512,DBPedia_9511,SBTI_814,Bristol Myers Squibb,Bristol Myers Squibb,100,DBPedia_9511SBTI_814
dbpedia_sbti_7902,DBPedia_7901,SBTI_3838,"Nike, Inc.","NIKE, Inc.",100,DBPedia_7901SBTI_3838
dbpedia_sbti_2902,DBPedia_2901,SBTI_1745,Essentra,Essentra,100,DBPedia_2901SBTI_1745
dbpedia_sbti_4508,DBPedia_4507,SBTI_913,Canfor,Canfor,100,DBPedia_4507SBTI_913
dbpedia_sbti_4374,DBPedia_4373,SBTI_5903,Wallenius Wilhelmsen,Wallenius Wilhelmsen,100,DBPedia_4373SBTI_5903
dbpedia_sbti_8902,DBPedia_8901,SBTI_2247,Groupe Bruxelles Lambert,Groupe Bruxelles Lambert,100,DBPedia_8901SBTI_2247
dbpedia_sbti_6791,DBPedia_6790,SBTI_6025,WPP plc,WPP Plc,100,DBPedia_6790SBTI_6025
dbpedia_sbti_5827,DBPedia_5826,SBTI_851,Bunge Limited,Bunge Limited,100,DBPedia_5826SBTI_851
dbpedia_sbti_3230,DBPedia_3229,SBTI_5034,Springer Nature,Springer Nature,100,DBPedia_3229SBTI_5034
dbpedia_sbti_2315,DBPedia_2314,SBTI_5888,Votorantim Cimentos,Votorantim Cimentos,100,DBPedia_2314SBTI_5888
dbpedia_sbti_9005,DBPedia_9004,SBTI_5449,THG plc,THG PLC,100,DBPedia_9004SBTI_5449
dbpedia_sbti_904,DBPedia_903,SBTI_4980,Solera Holdings,Solera Holdings,100,DBPedia_903SBTI_4980
dbpedia_sbti_6129,DBPedia_6128,SBTI_4214,Philip Morris International,Philip Morris International,100,DBPedia_6128SBTI_4214
dbpedia_sbti_5316,DBPedia_5315,SBTI_3982,OCP Group,OCP Group,100,DBPedia_5315SBTI_3982
dbpedia_sbti_7402,DBPedia_7401,SBTI_4573,Royal HaskoningDHV,Royal HaskoningDHV,100,DBPedia_7401SBTI_4573
dbpedia_sbti_2834,DBPedia_2833,SBTI_6026,WS Audiology,WS Audiology,100,DBPedia_2833SBTI_6026
dbpedia_sbti_5451,DBPedia_5450,SBTI_5710,Univar Solutions,Univar Solutions,100,DBPedia_5450SBTI_5710
dbpedia_sbti_1932,DBPedia_1931,SBTI_5276,Taylor Wimpey,Taylor Wimpey,100,DBPedia_1931SBTI_5276
dbpedia_sbti_2059,DBPedia_2058,SBTI_3409,Marks & Spencer,Marks & Spencer,100,DBPedia_2058SBTI_3409
dbpedia_sbti_9183,DBPedia_9182,SBTI_5975,"Williams-Sonoma, Inc.","Williams-Sonoma, Inc.",100,DBPedia_9182SBTI_5975
dbpedia_sbti_7608,DBPedia_7607,SBTI_5159,SUSE,SUSE,100,DBPedia_7607SBTI_5159
dbpedia_sbti_1928,DBPedia_1927,SBTI_3900,Nordzucker,Nordzucker,100,DBPedia_1927SBTI_3900
dbpedia_sbti_3255,DBPedia_3254,SBTI_4826,Shimizu Corporation,Shimizu Corporation,100,DBPedia_3254SBTI_4826
dbpedia_sbti_8606,DBPedia_8605,SBTI_2182,Good Energy,Good Energy,100,DBPedia_8605SBTI_2182
dbpedia_sbti_1593,DBPedia_1592,SBTI_611,BCE Inc.,BCE inc.,100,DBPedia_1592SBTI_611
dbpedia_sbti_1636,DBPedia_1635,SBTI_494,Australian Broadcasting Corporation,Australian Broadcasting Corporation,100,DBPedia_1635SBTI_494
dbpedia_sbti_3665,DBPedia_3664,SBTI_2178,Gold Fields,Gold Fields,100,DBPedia_3664SBTI_2178
dbpedia_sbti_5106,DBPedia_5105,SBTI_3123,L'Oréal,L'Oréal,100,DBPedia_5105SBTI_3123
dbpedia_sbti_973,DBPedia_972,SBTI_4066,Orion Corporation,Orion Corporation,100,DBPedia_972SBTI_4066
dbpedia_sbti_5772,DBPedia_5771,SBTI_4570,Royal BAM Group,Royal BAM Group,100,DBPedia_5771SBTI_4570
dbpedia_sbti_1363,DBPedia_1362,SBTI_2101,Genpact,Genpact,100,DBPedia_1362SBTI_2101
dbpedia_sbti_3750,DBPedia_3749,SBTI_529,Axel Springer SE,Axel Springer SE,100,DBPedia_3749SBTI_529
dbpedia_sbti_4209,DBPedia_4208,SBTI_3747,"Nasdaq, Inc.","Nasdaq, Inc.",100,DBPedia_4208SBTI_3747
dbpedia_sbti_5592,DBPedia_5591,SBTI_3950,Nutreco,Nutreco,100,DBPedia_5591SBTI_3950
dbpedia_sbti_4780,DBPedia_4779,SBTI_1074,CIE Automotive,CIE Automotive,100,DBPedia_4779SBTI_1074
dbpedia_sbti_2279,DBPedia_2278,SBTI_774,Boston Properties,Boston Properties,100,DBPedia_2278SBTI_774
dbpedia_sbti_1066,DBPedia_1065,SBTI_3080,Korian,KORIAN,100,DBPedia_1065SBTI_3080
dbpedia_sbti_10392,DBPedia_10391,SBTI_302,An Post,An Post,100,DBPedia_10391SBTI_302
dbpedia_sbti_3736,DBPedia_3735,SBTI_263,Amalgamated Bank,Amalgamated Bank,100,DBPedia_3735SBTI_263
dbpedia_sbti_8165,DBPedia_8164,SBTI_4973,Soitec,Soitec,100,DBPedia_8164SBTI_4973
dbpedia_sbti_1002,DBPedia_1001,SBTI_4449,Redrow plc,Redrow plc,100,DBPedia_1001SBTI_4449
dbpedia_sbti_1814,DBPedia_1813,SBTI_4371,PVH Corp.,PVH Corp.,100,DBPedia_1813SBTI_4371
dbpedia_sbti_1683,DBPedia_1682,SBTI_1135,CNP Assurances,CNP Assurances,100,DBPedia_1682SBTI_1135
dbpedia_sbti_9644,DBPedia_9643,SBTI_1905,Flexport,Flexport,100,DBPedia_9643SBTI_1905
dbpedia_sbti_6578,DBPedia_6577,SBTI_1633,Elastic NV,Elastic NV,100,DBPedia_6577SBTI_1633
dbpedia_sbti_4407,DBPedia_4406,SBTI_4488,Republic Services,Republic Services,100,DBPedia_4406SBTI_4488
dbpedia_sbti_10433,DBPedia_10432,SBTI_1852,Federal Realty Investment Trust,Federal Realty Investment Trust,100,DBPedia_10432SBTI_1852
dbpedia_sbti_8946,DBPedia_8945,SBTI_1251,Covivio,Covivio,100,DBPedia_8945SBTI_1251
dbpedia_sbti_2062,DBPedia_2061,SBTI_2983,Keolis,Keolis,100,DBPedia_2061SBTI_2983
dbpedia_sbti_6623,DBPedia_6622,SBTI_3673,Mowi,Mowi,100,DBPedia_6622SBTI_3673
dbpedia_sbti_1433,DBPedia_1432,SBTI_2071,GE HealthCare,GE Healthcare,100,DBPedia_1432SBTI_2071
dbpedia_sbti_221,DBPedia_220,SBTI_5443,The Wendy's Company,The Wendy's Company,100,DBPedia_220SBTI_5443
dbpedia_sbti_5460,DBPedia_5459,SBTI_1418,Dentons,Dentons,100,DBPedia_5459SBTI_1418
dbpedia_sbti_4104,DBPedia_4103,SBTI_1509,Dover Corporation,Dover Corporation,100,DBPedia_4103SBTI_1509
dbpedia_sbti_4419,DBPedia_4418,SBTI_5754,Valmet,Valmet,100,DBPedia_4418SBTI_5754
dbpedia_sbti_9830,DBPedia_9829,SBTI_2670,Ingram Micro,Ingram Micro,100,DBPedia_9829SBTI_2670
dbpedia_sbti_1550,DBPedia_1549,SBTI_1993,Frigoglass,FRIGOGLASS,100,DBPedia_1549SBTI_1993
dbpedia_sbti_4796,DBPedia_4795,SBTI_206,Algar Telecom,Algar Telecom,100,DBPedia_4795SBTI_206
dbpedia_sbti_8031,DBPedia_8030,SBTI_5352,Tesco,Tesco,100,DBPedia_8030SBTI_5352
dbpedia_sbti_6386,DBPedia_6385,SBTI_4323,Prologis,Prologis,100,DBPedia_6385SBTI_4323
dbpedia_sbti_699,DBPedia_698,SBTI_2383,Hays plc,Hays plc,100,DBPedia_698SBTI_2383
dbpedia_sbti_4558,DBPedia_4557,SBTI_4501,Rexel,Rexel,100,DBPedia_4557SBTI_4501
dbpedia_sbti_3929,DBPedia_3928,SBTI_250,Altice Portugal,Altice Portugal,100,DBPedia_3928SBTI_250
dbpedia_sbti_7180,DBPedia_7179,SBTI_3140,Lactalis,Lactalis,100,DBPedia_7179SBTI_3140
dbpedia_sbti_4203,DBPedia_4202,SBTI_2614,"Illumina, Inc.","Illumina, Inc.",100,DBPedia_4202SBTI_2614
dbpedia_sbti_8792,DBPedia_8791,SBTI_2406,Helen of Troy Limited,Helen of Troy Limited,100,DBPedia_8791SBTI_2406
dbpedia_sbti_4432,DBPedia_4431,SBTI_1211,Convatec,ConvaTec,100,DBPedia_4431SBTI_1211
dbpedia_sbti_6935,DBPedia_6934,SBTI_1861,Ferrovial,Ferrovial,100,DBPedia_6934SBTI_1861
dbpedia_sbti_7640,DBPedia_7639,SBTI_2197,Grant Thornton LLP,Grant Thornton LLP,100,DBPedia_7639SBTI_2197
dbpedia_sbti_5242,DBPedia_5241,SBTI_4404,Radisson Hotel Group,Radisson Hotel Group,100,DBPedia_5241SBTI_4404
dbpedia_sbti_8800,DBPedia_8799,SBTI_3484,Mediahuis,Mediahuis,100,DBPedia_8799SBTI_3484
dbpedia_sbti_7763,DBPedia_7762,SBTI_88,Acuity Brands,Acuity Brands,100,DBPedia_7762SBTI_88
dbpedia_sbti_4010,DBPedia_4009,SBTI_5392,The Estée Lauder Companies,The Estée Lauder Companies,100,DBPedia_4009SBTI_5392
dbpedia_sbti_7297,DBPedia_7296,SBTI_4064,Origin Energy,Origin Energy,100,DBPedia_7296SBTI_4064
dbpedia_sbti_10188,DBPedia_10187,SBTI_3234,Linde plc,Linde plc,100,DBPedia_10187SBTI_3234
dbpedia_sbti_7300,DBPedia_7299,SBTI_3664,Morrison & Foerster,Morrison Foerster,100,DBPedia_7299SBTI_3664
dbpedia_sbti_3054,DBPedia_3053,SBTI_3413,Marsh McLennan,Marsh McLennan,100,DBPedia_3053SBTI_3413
dbpedia_sbti_9666,DBPedia_9665,SBTI_1952,Forterra plc,Forterra PLC,100,DBPedia_9665SBTI_1952
dbpedia_sbti_4509,DBPedia_4508,SBTI_5810,VF Corporation,VF Corporation,100,DBPedia_4508SBTI_5810
dbpedia_sbti_5732,DBPedia_5731,SBTI_5959,Whirlpool Corporation,Whirlpool Corporation,100,DBPedia_5731SBTI_5959
dbpedia_sbti_5856,DBPedia_5855,SBTI_5601,Trimble Inc.,Trimble Inc,100,DBPedia_5855SBTI_5601
dbpedia_sbti_1557,DBPedia_1556,SBTI_70,Acer Inc.,Acer Inc.,100,DBPedia_1556SBTI_70
dbpedia_sbti_7048,DBPedia_7047,SBTI_5330,Telia Company,Telia Company,100,DBPedia_7047SBTI_5330
dbpedia_sbti_4911,DBPedia_4910,SBTI_4129,Palo Alto Networks,Palo Alto Networks,100,DBPedia_4910SBTI_4129
dbpedia_sbti_8002,DBPedia_8001,SBTI_2721,Intrepid Travel,Intrepid Travel,100,DBPedia_8001SBTI_2721
dbpedia_sbti_9914,DBPedia_9913,SBTI_915,Canon Inc.,CANON INC.,100,DBPedia_9913SBTI_915
dbpedia_sbti_9610,DBPedia_9609,SBTI_1527,DS Smith,DS Smith,100,DBPedia_9609SBTI_1527
dbpedia_sbti_5765,DBPedia_5764,SBTI_801,BRF S.A.,BRF S.A.,100,DBPedia_5764SBTI_801
dbpedia_sbti_4394,DBPedia_4393,SBTI_1395,Dell Technologies,Dell Technologies,100,DBPedia_4393SBTI_1395
dbpedia_sbti_4428,DBPedia_4427,SBTI_3432,Masisa,MASISA,100,DBPedia_4427SBTI_3432
dbpedia_sbti_3964,DBPedia_3963,SBTI_4120,PageGroup,PageGroup,100,DBPedia_3963SBTI_4120
dbpedia_sbti_10049,DBPedia_10048,SBTI_5855,Vistra Corp,Vistra Corp.,100,DBPedia_10048SBTI_5855
dbpedia_sbti_8937,DBPedia_8936,SBTI_5333,Telus Corporation,TELUS Corporation,100,DBPedia_8936SBTI_5333
dbpedia_sbti_1911,DBPedia_1910,SBTI_426,Ashurst LLP,Ashurst LLP,100,DBPedia_1910SBTI_426
dbpedia_sbti_1879,DBPedia_1878,SBTI_5354,Tetra Pak,TETRA PAK,100,DBPedia_1878SBTI_5354
dbpedia_sbti_6325,DBPedia_6324,SBTI_3820,Next plc,Next plc,100,DBPedia_6324SBTI_3820
dbpedia_sbti_9826,DBPedia_9825,SBTI_2636,Inditex,Inditex,100,DBPedia_9825SBTI_2636
dbpedia_sbti_779,DBPedia_778,SBTI_2427,Herbert Smith Freehills,Herbert Smith Freehills,100,DBPedia_778SBTI_2427
dbpedia_sbti_5382,DBPedia_5381,SBTI_1164,Comcast,Comcast,100,DBPedia_5381SBTI_1164
dbpedia_sbti_6219,DBPedia_6218,SBTI_4457,Regal Rexnord Corporation,Regal Rexnord Corporation,100,DBPedia_6218SBTI_4457
dbpedia_sbti_7215,DBPedia_7214,SBTI_5006,Spark New Zealand,Spark New Zealand,100,DBPedia_7214SBTI_5006
dbpedia_sbti_3909,DBPedia_3908,SBTI_5383,The Coca-Cola Company,The Coca-Cola Company,100,DBPedia_3908SBTI_5383
dbpedia_sbti_472,DBPedia_471,SBTI_1354,Danske Bank,Danske Bank,100,DBPedia_471SBTI_1354
dbpedia_sbti_570,DBPedia_569,SBTI_35,AB InBev,AB InBev,100,DBPedia_569SBTI_35
dbpedia_sbti_9956,DBPedia_9955,SBTI_4676,Saudi Telecom Company,Saudi Telecom Company,100,DBPedia_9955SBTI_4676
dbpedia_sbti_2939,DBPedia_2938,SBTI_488,August Faller GmbH & Co. KG,August Faller GmbH & CO. KG,100,DBPedia_2938SBTI_488
dbpedia_sbti_3941,DBPedia_3940,SBTI_2481,HNI Corporation,HNI Corporation,100,DBPedia_3940SBTI_2481
dbpedia_sbti_2802,DBPedia_2801,SBTI_5649,Twilio,Twilio,100,DBPedia_2801SBTI_5649
dbpedia_sbti_9346,DBPedia_9345,SBTI_4478,Rémy Cointreau,Rémy Cointreau,100,DBPedia_9345SBTI_4478
dbpedia_sbti_4039,DBPedia_4038,SBTI_3917,Nortura,Nortura,100,DBPedia_4038SBTI_3917
dbpedia_sbti_2668,DBPedia_2667,SBTI_1293,CSX Corporation,CSX Corporation,100,DBPedia_2667SBTI_1293
dbpedia_sbti_5838,DBPedia_5837,SBTI_94,Addleshaw Goddard,Addleshaw Goddard,100,DBPedia_5837SBTI_94
dbpedia_sbti_4495,DBPedia_4494,SBTI_4332,Prysmian Group,Prysmian Group,100,DBPedia_4494SBTI_4332
dbpedia_sbti_2090,DBPedia_2089,SBTI_3508,Mercado Libre,Mercado Libre,100,DBPedia_2089SBTI_3508
dbpedia_sbti_1246,DBPedia_1245,SBTI_773,Boston Consulting Group,Boston Consulting Group,100,DBPedia_1245SBTI_773
dbpedia_sbti_7298,DBPedia_7297,SBTI_4788,Shaftesbury plc,Shaftesbury PLC,100,DBPedia_7297SBTI_4788
dbpedia_sbti_4264,DBPedia_4263,SBTI_3112,Kyndryl,Kyndryl,100,DBPedia_4263SBTI_3112
dbpedia_sbti_9790,DBPedia_9789,SBTI_4431,Real Chemistry,Real Chemistry,100,DBPedia_9789SBTI_4431
dbpedia_sbti_501,DBPedia_500,SBTI_1276,CRH plc,CRH plc,100,DBPedia_500SBTI_1276
dbpedia_sbti_5857,DBPedia_5856,SBTI_183,AkzoNobel,AkzoNobel,100,DBPedia_5856SBTI_183
dbpedia_sbti_3033,DBPedia_3032,SBTI_2956,KB Financial Group,KB Financial Group,100,DBPedia_3032SBTI_2956
dbpedia_sbti_5166,DBPedia_5165,SBTI_5485,TLT LLP,TLT LLP,100,DBPedia_5165SBTI_5485
dbpedia_sbti_9296,DBPedia_9295,SBTI_5856,Vistry Group,Vistry Group,100,DBPedia_9295SBTI_5856
dbpedia_sbti_5044,DBPedia_5043,SBTI_1873,Finastra,Finastra,100,DBPedia_5043SBTI_1873
dbpedia_sbti_5133,DBPedia_5132,SBTI_1470,Diploma plc,Diploma PLC,100,DBPedia_5132SBTI_1470
dbpedia_sbti_8867,DBPedia_8866,SBTI_1954,Fortinet,Fortinet,100,DBPedia_8866SBTI_1954
dbpedia_sbti_9391,DBPedia_9390,SBTI_2115,Getlink,GETLINK,100,DBPedia_9390SBTI_2115
dbpedia_sbti_3961,DBPedia_3960,SBTI_1923,Fnac Darty,Fnac Darty,100,DBPedia_3960SBTI_1923
dbpedia_sbti_9091,DBPedia_9090,SBTI_2704,Intermediate Capital Group,Intermediate Capital Group,100,DBPedia_9090SBTI_2704
dbpedia_sbti_10388,DBPedia_10387,SBTI_1305,Cushman & Wakefield,Cushman & Wakefield,100,DBPedia_10387SBTI_1305
dbpedia_sbti_4952,DBPedia_4951,SBTI_2257,Groupe SEB,Groupe SEB,100,DBPedia_4951SBTI_2257
dbpedia_sbti_868,DBPedia_867,SBTI_5635,TUI Group,TUI Group,100,DBPedia_867SBTI_5635
dbpedia_sbti_5237,DBPedia_5236,SBTI_3749,Naspers,Naspers,100,DBPedia_5236SBTI_3749
dbpedia_sbti_3818,DBPedia_3817,SBTI_858,Bureau Veritas,BUREAU VERITAS,100,DBPedia_3817SBTI_858
dbpedia_sbti_6343,DBPedia_6342,SBTI_4820,SHI International Corp,SHI International Corp,100,DBPedia_6342SBTI_4820
dbpedia_sbti_2595,DBPedia_2594,SBTI_3577,Mills & Reeve,Mills & Reeve,100,DBPedia_2594SBTI_3577
