Match ID,dbpedia_uid,sbti_uid,dbpedia_company,sbti_company,Similarity Score,dbpedia_sbti_uids
dbpedia_sbti_1265,DBPedia_1264,SBTI_885,Corus Entertainment,Caesars Entertainment,85,DBPedia_1264SBTI_885
dbpedia_sbti_8219,DBPedia_8218,SBTI_4580,RS Group plc,RPS Group plc,96,DBPedia_8218SBTI_4580
dbpedia_sbti_7587,DBPedia_7586,SBTI_1454,Zi Corporation,DIC Corporation,90,DBPedia_7586SBTI_1454
dbpedia_sbti_6333,DBPedia_6332,SBTI_1805,Nexperia,Experian,88,DBPedia_6332SBTI_1805
dbpedia_sbti_8017,DBPedia_8016,SBTI_2432,Hager Group,Hero Group,86,DBPedia_8016SBTI_2432
dbpedia_sbti_8015,DBPedia_8014,SBTI_1771,Eurostar International Limited,Eurostar International Ltd,93,DBPedia_8014SBTI_1771
dbpedia_sbti_8824,DBPedia_8823,SBTI_3182,Lectra,LECTA,91,DBPedia_8823SBTI_3182
dbpedia_sbti_5569,DBPedia_5568,SBTI_5006,Sky (New Zealand),Spark New Zealand,88,DBPedia_5568SBTI_5006
dbpedia_sbti_1958,DBPedia_1957,SBTI_5330,Hella (company),Telia Company,85,DBPedia_1957SBTI_5330
dbpedia_sbti_6810,DBPedia_6809,SBTI_1537,Adani Group,Duni Group,86,DBPedia_6809SBTI_1537
dbpedia_sbti_4184,DBPedia_4183,SBTI_774,Post Properties,Boston Properties,88,DBPedia_4183SBTI_774
dbpedia_sbti_3038,DBPedia_3037,SBTI_3395,ManpowerGroup,ManpowerGroup Inc.,87,DBPedia_3037SBTI_3395
dbpedia_sbti_9502,DBPedia_9501,SBTI_1395,Bally Technologies,Dell Technologies,86,DBPedia_9501SBTI_1395
dbpedia_sbti_1917,DBPedia_1916,SBTI_3911,Northern Ireland Electricity,Northern Ireland Electricity Networks,86,DBPedia_1916SBTI_3911
dbpedia_sbti_9732,DBPedia_9731,SBTI_1024,Charles River Laboratories,"Charles River Laboratories, Inc.",93,DBPedia_9731SBTI_1024
dbpedia_sbti_3070,DBPedia_3069,SBTI_2456,Pilot Corporation,Hilti Corporation,88,DBPedia_3069SBTI_2456
dbpedia_sbti_4297,DBPedia_4296,SBTI_3411,Sherritt International,Marriott International,86,DBPedia_4296SBTI_3411
dbpedia_sbti_4243,DBPedia_4242,SBTI_1085,Catlin Group,Citation Group,85,DBPedia_4242SBTI_1085
dbpedia_sbti_4937,DBPedia_4936,SBTI_2714,The Interpublic Group of Companies,"Interpublic Group of Companies, Inc.",88,DBPedia_4936SBTI_2714
dbpedia_sbti_765,DBPedia_764,SBTI_4475,JGC Holdings Corporation,REMATEC Holdings Corporation,85,DBPedia_764SBTI_4475
dbpedia_sbti_4971,DBPedia_4970,SBTI_4732,Hess Corporation,SCSK Corporation,88,DBPedia_4970SBTI_4732
dbpedia_sbti_4093,DBPedia_4092,SBTI_2244,Groupon,Group One,88,DBPedia_4092SBTI_2244
dbpedia_sbti_1642,DBPedia_1641,SBTI_93,Acadia Pharmaceuticals,Addeira Pharmaceuticals AB,88,DBPedia_1641SBTI_93
dbpedia_sbti_6669,DBPedia_6668,SBTI_3655,Moore Kingston Smith,Moore Kingston Smith LLP,91,DBPedia_6668SBTI_3655
dbpedia_sbti_8440,DBPedia_8439,SBTI_5693,Uniqa Insurance Group,UNIQA Insurance Group AG,93,DBPedia_8439SBTI_5693
dbpedia_sbti_4400,DBPedia_4399,SBTI_4554,Rolls-Royce Power Systems,Rolls-Royce Power Systems AG,94,DBPedia_4399SBTI_4554
dbpedia_sbti_3793,DBPedia_3792,SBTI_1420,BTU International,Dentsu International,86,DBPedia_3792SBTI_1420
dbpedia_sbti_8110,DBPedia_8109,SBTI_1454,Disco Corporation,DIC Corporation,94,DBPedia_8109SBTI_1454
dbpedia_sbti_7066,DBPedia_7065,SBTI_1577,Eckes-Granini Group,Eckes-Granini Group GmbH,88,DBPedia_7065SBTI_1577
dbpedia_sbti_8123,DBPedia_8122,SBTI_3113,KYB Corporation,KYOAI Corporation,88,DBPedia_8122SBTI_3113
dbpedia_sbti_5573,DBPedia_5572,SBTI_2257,SEB Group,Groupe SEB,95,DBPedia_5572SBTI_2257
dbpedia_sbti_6621,DBPedia_6620,SBTI_2161,GN Store Nord,GN Store Nord A/S,87,DBPedia_6620SBTI_2161
dbpedia_sbti_3632,DBPedia_3631,SBTI_3439,Mack Group,Match Group,86,DBPedia_3631SBTI_3439
dbpedia_sbti_1881,DBPedia_1880,SBTI_1769,European Metal Recycling,European Metal Recycling Limited,86,DBPedia_1880SBTI_1769
dbpedia_sbti_7489,DBPedia_7488,SBTI_5713,Universal Music Group,Universal Music Group N.V.,91,DBPedia_7488SBTI_5713
dbpedia_sbti_7055,DBPedia_7054,SBTI_2717,Intertape Polymer Group,Intertape Polymer Group Inc.,92,DBPedia_7054SBTI_2717
dbpedia_sbti_9393,DBPedia_9392,SBTI_4026,Geron Corporation,OMRON Corporation,88,DBPedia_9392SBTI_4026
dbpedia_sbti_8445,DBPedia_8444,SBTI_3594,Mishcon de Reya,Mishcon de Reya LLP,88,DBPedia_8444SBTI_3594
dbpedia_sbti_9886,DBPedia_9885,SBTI_4835,"Yoshida & Co., Ltd.","Shinoda Co., Ltd.",86,DBPedia_9885SBTI_4835
dbpedia_sbti_3767,DBPedia_3766,SBTI_5947,Tyco International,Westcon International,87,DBPedia_3766SBTI_5947
dbpedia_sbti_2093,DBPedia_2092,SBTI_3456,Meru Networks,Mayer-network,85,DBPedia_2092SBTI_3456
dbpedia_sbti_10527,DBPedia_10526,SBTI_5380,The Children's Place,"The Children's Place, Inc.",91,DBPedia_10526SBTI_5380
dbpedia_sbti_9355,DBPedia_9354,SBTI_4489,S Group,RES Group,88,DBPedia_9354SBTI_4489
dbpedia_sbti_7256,DBPedia_7255,SBTI_2638,Indorama Ventures,Indorama Ventures PCL,89,DBPedia_7255SBTI_2638
dbpedia_sbti_10075,DBPedia_10074,SBTI_5834,Concha y Toro,VIÑA CONCHA Y TORO,87,DBPedia_10074SBTI_5834
dbpedia_sbti_10280,DBPedia_10279,SBTI_1008,CME Group,CEZ Group,89,DBPedia_10279SBTI_1008
dbpedia_sbti_7072,DBPedia_7071,SBTI_2532,HCR Corporation,HTC Corporation,93,DBPedia_7071SBTI_2532
dbpedia_sbti_7305,DBPedia_7304,SBTI_5968,Wellman Group,Wieland Group,85,DBPedia_7304SBTI_5968
dbpedia_sbti_5109,DBPedia_5108,SBTI_3018,KION Group,KION GROUP AG,87,DBPedia_5108SBTI_3018
dbpedia_sbti_10404,DBPedia_10403,SBTI_3151,Danaher Corporation,Lancer Corporation,86,DBPedia_10403SBTI_3151
dbpedia_sbti_8770,DBPedia_8769,SBTI_611,CAE Inc.,BCE inc.,86,DBPedia_8769SBTI_611
dbpedia_sbti_3943,DBPedia_3942,SBTI_979,Chevron Corporation,Caverion Corporation,87,DBPedia_3942SBTI_979
dbpedia_sbti_4681,DBPedia_4680,SBTI_3680,MCI Inc.,MSCI Inc.,93,DBPedia_4680SBTI_3680
dbpedia_sbti_10664,DBPedia_10663,SBTI_4489,RPS Group,RES Group,89,DBPedia_10663SBTI_4489
dbpedia_sbti_1461,DBPedia_1460,SBTI_2444,SVG Capital,Hg Capital,86,DBPedia_1460SBTI_2444
dbpedia_sbti_8713,DBPedia_8712,SBTI_5653,Tyson Foods,"Tyson Foods, Inc.",85,DBPedia_8712SBTI_5653
dbpedia_sbti_7755,DBPedia_7754,SBTI_113,Advanced Drainage Systems,"Advanced Drainage Systems, Inc.",93,DBPedia_7754SBTI_113
dbpedia_sbti_10035,DBPedia_10034,SBTI_5673,Ulta Beauty,"Ulta Beauty, Inc.",85,DBPedia_10034SBTI_5673
dbpedia_sbti_4614,DBPedia_4613,SBTI_3693,Multiconsult,Multiconsult ASA,86,DBPedia_4613SBTI_3693
dbpedia_sbti_3630,DBPedia_3629,SBTI_4253,M7 Group,PM Group,88,DBPedia_3629SBTI_4253
dbpedia_sbti_1858,DBPedia_1857,SBTI_2574,FSE Engineering Group,i engineering Group,85,DBPedia_1857SBTI_2574
dbpedia_sbti_1627,DBPedia_1626,SBTI_568,Balfour Beatty,Balfour Beatty Plc,88,DBPedia_1626SBTI_568
dbpedia_sbti_5586,DBPedia_5585,SBTI_3642,Mondelez International,Mondelez International Inc,92,DBPedia_5585SBTI_3642
dbpedia_sbti_9988,DBPedia_9987,SBTI_694,Big Yellow Group,Big Yellow Group PLC,89,DBPedia_9987SBTI_694
dbpedia_sbti_7977,DBPedia_7976,SBTI_4253,PFM Group,PM Group,94,DBPedia_7976SBTI_4253
dbpedia_sbti_10593,DBPedia_10592,SBTI_1509,Divine (corporation),Dover Corporation,86,DBPedia_10592SBTI_1509
dbpedia_sbti_4660,DBPedia_4659,SBTI_2111,Gerresheimer,Gerresheimer AG,89,DBPedia_4659SBTI_2111
dbpedia_sbti_5232,DBPedia_5231,SBTI_4422,Rathbones Group,Rathbones Group Plc,88,DBPedia_5231SBTI_4422
dbpedia_sbti_7168,DBPedia_7167,SBTI_4227,Pinsent Masons,Pinsent Masons LLP,88,DBPedia_7167SBTI_4227
dbpedia_sbti_9702,DBPedia_9701,SBTI_5309,Teejay Lanka,Teejay Lanka PLC,86,DBPedia_9701SBTI_5309
dbpedia_sbti_5686,DBPedia_5685,SBTI_3439,MCH Group,Match Group,90,DBPedia_5685SBTI_3439
dbpedia_sbti_2171,DBPedia_2170,SBTI_4208,Merz Pharma,Pharma Mar,86,DBPedia_2170SBTI_4208
dbpedia_sbti_722,DBPedia_721,SBTI_6147,Mask Associates,ZS Associates,86,DBPedia_721SBTI_6147
dbpedia_sbti_8168,DBPedia_8167,SBTI_1385,Egger (company),Deere & Company,85,DBPedia_8167SBTI_1385
dbpedia_sbti_1938,DBPedia_1937,SBTI_4066,Griffon Corporation,Orion Corporation,89,DBPedia_1937SBTI_4066
dbpedia_sbti_6185,DBPedia_6184,SBTI_4279,Posti Group,Posti Group Ltd.,85,DBPedia_6184SBTI_4279
dbpedia_sbti_7884,DBPedia_7883,SBTI_1039,Charter Communications,Chime Communications,86,DBPedia_7883SBTI_1039
dbpedia_sbti_6566,DBPedia_6565,SBTI_4874,Siemens Healthineers,Siemens Healthineers AG,93,DBPedia_6565SBTI_4874
dbpedia_sbti_6530,DBPedia_6529,SBTI_754,Bona AB,Bonava AB,88,DBPedia_6529SBTI_754
dbpedia_sbti_5932,DBPedia_5931,SBTI_2476,"HKN, Inc.","HKS, Inc.",86,DBPedia_5931SBTI_2476
dbpedia_sbti_7082,DBPedia_7081,SBTI_1882,Firmenich,FIRMENICH SA,86,DBPedia_7081SBTI_1882
dbpedia_sbti_6431,DBPedia_6430,SBTI_1275,Crest Nicholson,Crest Nicholson plc,88,DBPedia_6430SBTI_1275
dbpedia_sbti_2911,DBPedia_2910,SBTI_587,Bank Austria,Bank Australia,92,DBPedia_2910SBTI_587
dbpedia_sbti_7913,DBPedia_7912,SBTI_108,ADVA Optical Networking,Adva Optical Networking SE,94,DBPedia_7912SBTI_108
dbpedia_sbti_4530,DBPedia_4529,SBTI_5405,Howard Hughes Corporation,The Howard Hughes Corporation,93,DBPedia_4529SBTI_5405
dbpedia_sbti_8613,DBPedia_8612,SBTI_733,MSC Software,BMC Software,92,DBPedia_8612SBTI_733
dbpedia_sbti_2731,DBPedia_2730,SBTI_441,Aastra Technologies,ASM Technologies,86,DBPedia_2730SBTI_441
dbpedia_sbti_7120,DBPedia_7119,SBTI_1475,DiscoverIE Group,discoverIE Group plc,89,DBPedia_7119SBTI_1475
dbpedia_sbti_9692,DBPedia_9691,SBTI_2710,International Meal Company,International Paper Company,87,DBPedia_9691SBTI_2710
dbpedia_sbti_6940,DBPedia_6939,SBTI_1385,Dräger (company),Deere & Company,85,DBPedia_6939SBTI_1385
dbpedia_sbti_10621,DBPedia_10620,SBTI_2779,IRISL Group,ITRS Group,86,DBPedia_10620SBTI_2779
dbpedia_sbti_1585,DBPedia_1584,SBTI_2058,"ADP, Inc.",Gap Inc.,86,DBPedia_1584SBTI_2058
dbpedia_sbti_3140,DBPedia_3139,SBTI_3764,NatWest Group,NatWest Group plc,87,DBPedia_3139SBTI_3764
dbpedia_sbti_9920,DBPedia_9919,SBTI_907,Canadian Solar,Canadian Solar Inc.,88,DBPedia_9919SBTI_907
dbpedia_sbti_2712,DBPedia_2711,SBTI_5615,Toms International,Trust International,86,DBPedia_2711SBTI_5615
dbpedia_sbti_3578,DBPedia_3577,SBTI_3276,London Stock Exchange Group,London Stock Exchange Group PLC,93,DBPedia_3577SBTI_3276
dbpedia_sbti_6349,DBPedia_6348,SBTI_2356,RIGOL Technologies,HARINGTON TECHNOLOGIES,85,DBPedia_6348SBTI_2356
dbpedia_sbti_8541,DBPedia_8540,SBTI_371,ArcelorMittal,Arcelor Mittal,96,DBPedia_8540SBTI_371
dbpedia_sbti_5270,DBPedia_5269,SBTI_2598,Micros Systems,IFCO Systems,85,DBPedia_5269SBTI_2598
dbpedia_sbti_3146,DBPedia_3145,SBTI_2666,Ingersoll Rand,Ingersoll Rand Inc.,88,DBPedia_3145SBTI_2666
dbpedia_sbti_4494,DBPedia_4493,SBTI_741,Beca Group,Bocar Group,86,DBPedia_4493SBTI_741
dbpedia_sbti_906,DBPedia_905,SBTI_2980,Kennedys Law,Kennedys Law LLP,86,DBPedia_905SBTI_2980
